7/24/2017 6:01:53 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:23:06 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:24:23 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:25:36 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:28:17 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:30:29 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:37:23 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:38:23 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:41:04 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 6:59:39 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 7:02:46 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 7:04:36 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o użytkowniku z ID:  w tabeli People
7/24/2017 7:06:57 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 7:08:04 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 7:08:45 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o użytkowniku z ID: 2 w tabeli People
7/24/2017 7:10:32 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 7:19:51 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/24/2017 7:20:23 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 4:11:04 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:12:56 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:13:56 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:15:07 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:16:08 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:18:53 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:20:12 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:21:14 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:24:28 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:27:13 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:28:18 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 3
7/26/2017 4:35:38 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:35:43 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 5
7/26/2017 4:44:08 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:44:16 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/26/2017 4:47:57 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 4:48:24 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 4:52:56 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 4:53:10 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 4:53:26 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 4:53:36 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/26/2017 4:56:25 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 4:56:36 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 4:57:32 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 4:57:43 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 4:58:14 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 4:58:25 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 4:59:17 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 4:59:28 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 5:00:09 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/26/2017 5:00:18 PM ==> UserID: 1 || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/26/2017 6:45:30 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 6:45:44 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 2
7/26/2017 6:46:34 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 2
7/26/2017 6:46:35 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 2
7/26/2017 6:46:58 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 2
7/26/2017 6:47:38 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 3
7/26/2017 6:51:35 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 6:51:43 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 2
7/26/2017 6:53:02 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 6:55:46 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 6:56:44 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/26/2017 7:05:53 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:09:20 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:18:21 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:21:43 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:33:17 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:36:36 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:36:59 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:02 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/26/2017 7:37:06 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:09 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:11 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:13 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:14 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
